sepal_length,sepal_width,petal_length,petal_width,species
6.048357076505616,3.0751478551037628,2.4565074836168916,1.0686604513634141,virginica
5.730867849414407,3.1039344628490926,2.8597284397045457,1.5775711602506193,setosa
6.1238442690503465,2.795992583526453,4.820940407684893,0.6071369768322282,versicolor
6.561514928204012,3.069676109148301,4.615555398150198,1.3520232577589222,virginica
5.682923312638332,3.0879217419896046,3.668647609053778,0.8348711908137797,virginica
5.6829315215254095,2.78569457459209,3.875991074963173,0.703563583868828,virginica
6.5896064077536955,3.559732353343427,5.616497343682638,1.0464848200227213,virginica
6.183717364576454,3.1421498762735363,2.812642916746255,0.582378838790313,versicolor
5.565262807032524,2.6426089508392057,4.520646071755057,0.8231753473264091,virginica
6.071280021792982,3.1969660825901487,3.396711021349159,0.5010610537055759,virginica
5.568291153593769,2.7075954989318034,3.3734781951591697,2.082362566458195,setosa
5.567135123214872,3.2361253811227355,5.348165277980785,1.1176317759858645,virginica
5.920981135783017,3.347578673702221,4.9381245234820454,0.7501372460037072,versicolor
4.843359877671101,2.7537953044944867,4.920264454000958,1.206989955367111,versicolor
4.937541083743484,3.2890128387732966,5.658218210731494,1.0438359751545851,versicolor
5.518856235379514,3.1238342780809494,3.731505762449139,0.9895152002333886,versicolor
5.293584439832788,3.246618047998347,4.722929456942446,1.4070833500217126,virginica
5.957123666297637,3.569037894796184,3.234599865109816,1.4787538550236525,virginica
5.345987962239394,2.926383565199139,4.186249528732663,0.8347494261947364,versicolor
5.093848149332354,2.7738791506927534,3.5047854184484732,0.81209087967766,versicolor
6.532824384460777,2.733145671112343,3.8454939474890777,0.9624741514241781,virginica
5.687111849756732,2.7552569145103685,4.59273553815537,-0.05096058236779233,versicolor
5.833764102343962,2.976869487175769,2.4726689751497917,0.34240446890072396,setosa
5.087625906893272,3.102345592444993,6.83858091352819,1.7834371337222623,versicolor
5.527808637737408,3.083007239799006,2.190973927750447,1.922483856750642,versicolor
5.8554612948549325,3.248154974710807,1.878717080818402,0.9754819802218109,setosa
5.224503211288848,3.003900567563372,5.437166310250102,1.3882784815278832,setosa
5.987849009172836,3.4360602231471953,4.887494040944404,1.255625077271768,virginica
5.499680655040597,2.9206029500286133,4.636179725578232,2.639440404227619,virginica
5.654153125103361,3.8160507499768856,4.64251826389642,1.6597874557172885,setosa
5.499146693885302,3.1877002043295017,3.681629840729628,1.0360412042596168,setosa
6.726139092254469,2.7428527330751153,2.354118442771253,0.6222297796997872,virginica
5.793251387631033,2.678732250581666,3.8137068372905896,0.29677683987121384,versicolor
5.271144535522049,3.1447417245729556,2.6842574327318327,1.2017318179336116,setosa
6.211272456051594,2.932961164402245,5.162679600126626,0.7218246273578484,virginica
5.189578175014489,3.2142001482276275,3.4794139277467924,0.388873145201163,versicolor
5.904431797502378,3.1419712873720633,2.461754204811233,0.7767135578787367,setosa
4.820164938060112,2.978151326202938,3.21792123752051,0.5592259981928026,versicolor
5.1359069755507845,2.7459618845794784,4.319397181413437,1.9435708175362825,virginica
5.898430617934562,2.5455458325942404,2.854413170794038,1.5408198784747253,setosa
6.169233289997705,2.8660455143798935,2.466669406650353,1.0960136793416915,versicolor
5.885684140594985,3.256919638297042,4.065530817237868,1.839972069445013,setosa
5.742175858805879,3.064228123239061,4.067449856663084,1.1386841538238093,versicolor
5.6494481522053555,2.6262783663864036,2.9395852369433055,0.6693578993358682,virginica
5.060739004816286,3.0519542777553545,2.993442541572516,1.8615620386348288,virginica
5.440077895802646,3.115595213918651,4.0480749060364545,1.3694550218423294,setosa
5.569680614520106,2.73484276913966,1.527873487754014,0.5813769228367719,versicolor
6.3285611131094575,3.046117531783658,1.5888043384351676,1.004830660958196,setosa
5.97180914478423,3.0174626155338,2.622333668121346,0.6621908733076215,setosa
4.918479922318633,2.657108910650813,3.379829272432229,0.40860013451783206,versicolor
5.9620419846973975,3.107336208104485,4.1663613483970074,1.5630887737658208,versicolor
5.6074588597918416,3.1682353579104703,5.913034325424328,2.0547083202350653,versicolor
5.46153899984702,3.3249153729525833,4.98648943480303,0.4007162130904295,virginica
6.105838144420434,3.316140615610471,3.4600922050548597,1.3814846183452856,setosa
6.315499761247976,2.586699189612873,3.671475688145967,0.7746787154390866,setosa
6.265640059558099,2.718652488025463,2.196205953043287,0.8564373081176521,virginica
5.380391238388681,3.154510580162598,3.6722302960114153,0.8038030378805655,versicolor
5.645393812074393,3.1541357852736627,3.2670120416197928,0.668004615160092,virginica
5.9656317157017815,3.1545143058918144,4.184077840507134,1.1242608139724135,virginica
6.287772563561179,4.155819447196416,2.459153584671516,0.6845249417944812,virginica
5.5604128810773545,3.17126715320795,4.4790197713617586,1.2352284128899196,setosa
5.7071705116680915,3.34066969205418,5.999108369503867,1.0748809452754315,virginica
5.246832512996986,3.2862005290479606,3.5368597773147137,0.9805259765667952,setosa
5.201896687959664,3.1954173753917394,4.302567583148412,0.6462181689792011,setosa
6.206262911197099,2.905419226607896,4.735215987566669,0.8116143347158338,setosa
6.478120014285412,3.22769076614798,3.098169292171246,1.477695612912878,versicolor
5.763994939209833,2.7681524356387284,4.036138722715625,1.3504585938121905,setosa
6.301766448946012,2.928954417977997,3.7188886011726923,0.6112223776007246,setosa
5.980818012523817,2.854390935651269,3.846514147823248,1.149666152714613,versicolor
5.477440122697438,3.0245622418158966,2.5404853242168004,1.4756935616858946,setosa
5.980697802754206,3.6943975700020526,3.736765261388414,0.2652973594393142,virginica
6.569018283232984,2.4398204422224756,4.446997436868175,1.3716800961899676,virginica
5.782086980445024,3.205878057112354,5.876715411692563,0.7686881205270768,setosa
6.582321827907003,2.5161852386431045,5.13890623912781,1.3852993342965798,versicolor
4.490127447955127,2.85842044026317,6.9297736862673345,0.7183704217287417,virginica
6.210951252187612,3.3266851790902097,2.548978655667926,0.19755894966774057,versicolor
5.843523534119085,3.0192840057286388,5.008480955081017,0.28622878105841876,versicolor
5.650496324767066,2.6766765666212082,3.9750130086075277,1.124042473330691,virginica
5.845880388267751,2.7854088872220095,6.984704399826509,1.229861250860741,versicolor
4.806215542699554,3.2038793246804027,2.487552571967273,0.6478416874477958,virginica
5.690164056081244,2.780890010484859,2.440417236728836,1.419296229388687,versicolor
5.978556285755873,3.0649375768745926,2.8009110318339667,0.26923996886552015,virginica
6.538947022370758,3.0136715519711443,0.5141564135352898,1.0669601006763418,setosa
5.540864890863176,2.804519895718255,2.9113674674788586,0.49449190011877175,virginica
5.395753198553406,3.6431832267975977,2.5613010076694533,0.7740819460989206,virginica
5.549121478207732,3.1901757066954035,3.9255906797143116,1.123699335658207,virginica
6.257701058851037,2.392457224002718,4.2126339636657395,0.6697933173580239,virginica
5.964375554829842,3.055936294430828,6.5142562588238295,0.9077222278850874,versicolor
5.535119898116481,2.801464060569484,5.125635757279076,1.6031464046072204,setosa
6.056633716556678,3.2557300004388674,2.834644516506396,0.8115540652384257,virginica
5.84853877467402,2.76224377847019,2.3523779929774635,1.517846056032571,versicolor
6.284322495266444,2.9655790675599305,4.4378787572597584,0.535146572671191,setosa
5.448973453061324,3.151496183694137,1.719650189469037,1.3649020889576415,setosa
5.6361689267011155,3.259726558251036,6.447188148781531,1.8207843103289503,setosa
